candidate_id,rank,score,reasoning
CAND_0048558,19,0.8332,"Has experience in applied machine learning across AI and fintech domains, with exposure to information retrieval, OpenSearch, Elasticsearch, and Qdrant. Worked on predictive modeling, NLP, and production ML workflows, demonstrating a solid foundation in machine learning and data-driven systems. The resume shows familiarity with retrieval-related technologies and feature engineering, but places greater emphasis on predictive analytics than on production search, retrieval, and ranking systems. It also provides limited evidence of embedding-based retrieval, hybrid search, learning-to-rank, and large-scale evaluation frameworks that are central to this role."
CAND_0037566,20,0.8301,"Has experience building production ML systems with a strong focus on NLP, recommendation systems, and applied AI. Recently developed a RAG-based feature and owns its evaluation framework, demonstrating practical experience with retrieval pipelines and the importance of measuring retrieval quality. Possesses hands-on expertise in Pinecone, BM25, Elasticsearch, LlamaIndex, LLMs, LoRA, QLoRA, and MLflow, providing a solid foundation in modern retrieval and LLM technologies. Experience at LinkedIn and Paytm reflects exposure to large-scale product environments, although the resume provides less explicit evidence of hybrid retrieval architectures and production learning-to-rank systems than the strongest profiles."
CAND_0016553,21,0.7214,"Has extensive professional experience, but it is centered on content writing and design rather than building production AI or machine learning systems. Although the profile includes exposure to RAG, LangChain, LLMs, embeddings, and vector databases through online learning and side projects, there is no evidence of deploying production retrieval, ranking, or search systems. The career history does not demonstrate hands-on experience with production ML engineering, evaluation frameworks, or large-scale AI infrastructure, which are core requirements of the role. The technical skills appear to be exploratory rather than backed by relevant professional engineering experience."
CAND_0068811,22,0.7109,"Has extensive experience building production ML systems with a strong focus on NLP, recommendation systems, and embedding-based retrieval. Led the migration from keyword-based search to embedding-based retrieval, demonstrating practical experience in modern retrieval architectures and evaluation-driven model improvements. Possesses hands-on expertise with Pinecone, Qdrant, Weaviate, pgvector, Haystack, OpenSearch, Kubeflow, and TensorFlow, reflecting strong exposure to scalable vector search and production AI infrastructure. Experience across Freshworks, Yellow.ai, Meesho, and Salesforce demonstrates a solid background in developing and deploying production-grade AI systems, although the resume provides less explicit evidence of learning-to-rank and large-scale ranking evaluation frameworks than the strongest profiles."
CAND_0077092,23,0.6834,"Has extensive professional experience with exposure to software development and enterprise project environments. Demonstrates knowledge of AI technologies, including embeddings, vector search, FAISS, Pinecone, Sentence Transformers, and LLM fine-tuning. Possesses experience with technologies such as Flask, Spring Boot, SQL, and enterprise application development, providing a solid technical foundation. The profile also reflects continuous learning and practical exploration of retrieval and LLM-based technologies through hands-on projects."
CAND_0066945,24,0.6625,"Has extensive professional experience with strong leadership, stakeholder management, and project delivery across enterprise environments. Demonstrates knowledge of modern AI technologies, including RAG, semantic search, vector search, Pinecone, embeddings, Sentence Transformers, Hugging Face Transformers, LangChain, and information retrieval concepts. Possesses experience with Docker, JavaScript, Agile methodologies, and prompt engineering, reflecting a broad technical foundation and continuous learning in Generative AI. The profile also shows active exploration of retrieval-based AI systems and LLM technologies through hands-on experimentation and upskilling."
CAND_0058463,25,0.6483,"Has strong experience building backend systems, data pipelines, and analytics infrastructure with expertise in Python, ETL, Airflow, and large-scale data engineering. Demonstrates exposure to modern AI technologies through PyTorch, Pinecone, Sentence Transformers, BentoML, and deep learning projects, providing a solid foundation for AI system development. Experience across SaaS, food delivery, and EdTech environments reflects practical knowledge of scalable software engineering and data infrastructure. The profile also shows initiative in expanding into machine learning through hands-on projects and model fine-tuning while leveraging a strong engineering background."
CAND_0000828,26,0.6329,"Has extensive experience leading projects and managing cross-functional teams, with exposure to enterprise software development and data engineering technologies. Demonstrates knowledge of modern AI concepts and tools, including RAG, FAISS, embeddings, vector search, semantic search, LangChain, Hugging Face Transformers, and information retrieval. Possesses experience with backend technologies such as Java, Go, REST APIs, MongoDB, ETL, microservices, and data pipelines, providing a solid technical foundation. The profile also reflects continuous learning and practical exploration of Generative AI and retrieval-based systems through hands-on experimentation."
CAND_0002969,27,0.6184,"Has strong experience building data pipelines, backend systems, and analytics infrastructure, providing a solid foundation for production-scale data and AI workflows. Demonstrates expertise in Python, Weaviate, pgvector, Kubeflow, semantic search, and AWS, with exposure to technologies commonly used in modern AI systems. Experience across EdTech and fintech environments reflects practical knowledge of scalable data engineering and infrastructure supporting machine learning applications. The profile also shows hands-on exposure to retrieval-related technologies and a strong interest in expanding into applied AI and machine learning."
CAND_0078654,28,0.5941,"Has extensive experience in leadership, stakeholder management, and cross-functional project execution across enterprise environments. Demonstrates knowledge of modern AI technologies, including RAG, LangChain, FAISS, embeddings, vector search, Sentence Transformers, Hugging Face Transformers, information retrieval, and LLM fine-tuning. Possesses exposure to data engineering concepts such as ETL, data pipelines, and Node.js, providing a technical foundation for AI-enabled applications. The profile also reflects continuous learning and practical exploration of Generative AI technologies through hands-on experimentation and upskilling."
CAND_0070449,29,0.588,"Has strong experience building backend systems, data pipelines, and analytics infrastructure with expertise in Python, Spark, Airflow, and scalable software engineering. Demonstrates exposure to modern AI technologies through Hugging Face Transformers, Sentence Transformers, Kubeflow, MLflow, LoRA, and LLMs, providing a solid foundation in machine learning workflows. Experience across SaaS and fintech product companies reflects practical knowledge of developing reliable production systems and data platforms. The profile also shows initiative in expanding AI and machine learning expertise through hands-on projects while leveraging a strong data engineering background."
CAND_0063737,30,0.5879,"Has extensive experience in leadership, stakeholder management, and project coordination across enterprise environments. Demonstrates knowledge of modern AI technologies, including RAG, embeddings, vector search, Pinecone, LangChain, Sentence Transformers, and LLM fine-tuning, along with exposure to SQL, GraphQL, Databricks, and TypeScript. Possesses a solid technical foundation with familiarity in building data-driven applications and exploring retrieval-based AI technologies. The profile also reflects continuous upskilling in Generative AI through hands-on learning and practical experimentation with modern AI frameworks."
CAND_0017955,31,0.5721,"Experience managing large-scale projects has helped develop strong coordination, planning, and cross-functional collaboration skills in enterprise environments. The profile demonstrates familiarity with modern AI concepts through work with LangChain, embeddings, vector search, Sentence Transformers, RAG, information retrieval, and LLMs, along with exposure to technologies such as Django, React, Redis, CI/CD, and Apache Flink. A broad technical toolkit combined with continuous learning in Generative AI highlights an interest in transitioning toward AI-driven software development. The blend of technical exposure and project management experience provides a foundation for working on AI-enabled solutions."
CAND_0053882,32,0.5568,"Built extensive experience managing operations, process optimization, and cross-functional initiatives across enterprise environments, demonstrating strong organizational and execution capabilities. The profile shows familiarity with retrieval-focused AI technologies such as Pinecone, FAISS, vector search, semantic search, RAG, Hugging Face Transformers, and prompt engineering, along with exposure to Airflow, PostgreSQL, GraphQL, and modern web technologies. Experience working across software and IT organizations provides an understanding of technology-driven business workflows. Continuous exploration of Generative AI and information retrieval concepts highlights a proactive effort to expand technical expertise."
CAND_0017093,33,0.5489,"Built a solid foundation in applied machine learning through work on predictive modeling, NLP, and production ML workflows across SaaS and HealthTech domains. Experience with BM25, embeddings, learning-to-rank, pgvector, Airflow, and feature engineering demonstrates familiarity with several technologies relevant to modern search and retrieval systems. Exposure to LLMs and end-to-end machine learning pipelines, combined with strong Python-based ML skills, adds further technical depth. The profile reflects a clear progression toward taking greater ownership of production ML systems while expanding expertise in retrieval and AI engineering."
CAND_0011925,34,0.5342,"Strong experience in backend engineering and data infrastructure has provided expertise in building scalable data pipelines and analytics platforms across EdTech and fintech domains. Technical exposure to Kubernetes, Databricks, Apache Flink, AWS, Redis, Go, and QLoRA demonstrates familiarity with distributed systems and modern AI tooling. Experience supporting machine learning workflows through robust data engineering reflects an understanding of production-ready software development. The profile also shows initiative in expanding toward applied machine learning by combining a solid engineering background with hands-on exploration of modern AI techniques."
CAND_0074342,35,0.5218,"Experience in applied machine learning spans predictive modeling, NLP, and analytics across SaaS and fintech environments, providing a solid foundation in real-world ML development. Hands-on exposure to LangChain, Sentence Transformers, RAG, OpenSearch, LLMs, and QLoRA demonstrates familiarity with modern retrieval and Generative AI technologies. Work involving data pipelines and statistical modeling reflects practical knowledge of supporting machine learning workflows in production environments. The profile also shows a clear interest in advancing toward end-to-end AI system development by building expertise in retrieval and large language model applications."
CAND_0086036,36,0.5086,"Experience in operations and project management has developed strong capabilities in leading cross-functional initiatives and delivering business-critical projects. The profile demonstrates familiarity with modern AI technologies through exposure to RAG, LangChain, Pinecone, FAISS, Sentence Transformers, semantic search, vector search, and LLM fine-tuning. Technical knowledge of Django, PostgreSQL, Azure, and data science concepts provides a foundation for working with AI-enabled applications. Continuous learning in Generative AI and retrieval-based technologies reflects an active interest in expanding technical expertise into modern AI systems."
CAND_0020721,37,0.4961,"Experience in data engineering has provided strong expertise in building scalable data pipelines, backend systems, and analytics infrastructure for production environments. Exposure to AI-related technologies such as embeddings, FAISS, PEFT, Weights & Biases, and gRPC demonstrates familiarity with components commonly used in modern machine learning workflows. Work across SaaS and IT services has strengthened skills in handling large-scale data processing and engineering systems. The profile also reflects a growing interest in applied AI by combining a solid data engineering background with hands-on exploration of machine learning techniques."
CAND_0093039,38,0.4827,"Brings extensive experience in marketing, project management, and cross-functional collaboration across enterprise environments. Demonstrates familiarity with modern AI technologies through hands-on exposure to RAG, Pinecone, embeddings, semantic search, vector search, Hugging Face Transformers, LangChain, and information retrieval concepts. Technical knowledge of Kubernetes, AWS, Spark, REST APIs, and data pipelines provides additional exposure to technologies commonly used in AI-driven applications. The profile reflects continuous learning and practical exploration of Generative AI while building a broad technical skill set alongside business and leadership experience."
CAND_0018282,39,0.4689,"Experience in backend engineering and data infrastructure has built strong expertise in developing scalable data pipelines, distributed systems, and production software. Technical exposure to Kafka, Apache Beam, BM25, Hugging Face Transformers, Kubeflow, RAG, BentoML, Flask, and NLP demonstrates familiarity with technologies relevant to modern AI and retrieval systems. Work across fintech and enterprise software environments has strengthened skills in building reliable backend and data processing platforms. The profile also reflects a clear interest in expanding from data engineering into applied machine learning through hands-on projects and AI-focused upskilling."
CAND_0032852,40,0.4547,"Extensive experience in operations management has developed strong capabilities in leading teams, managing projects, and coordinating cross-functional initiatives across enterprise environments. The profile demonstrates familiarity with modern AI technologies through RAG, FAISS, Hugging Face Transformers, Sentence Transformers, LLMs, information retrieval, and prompt engineering. Technical exposure to BigQuery, MongoDB, Go, TypeScript, and feature engineering provides a broader understanding of data-driven applications and software technologies. Continuous learning and practical exploration of Generative AI reflect a proactive approach toward adopting emerging AI capabilities."
CAND_0041913,41,0.4413,"Experience in software engineering and data infrastructure has built strong expertise in developing data pipelines, ETL workflows, and scalable backend systems across fintech and enterprise environments. Technical exposure to Spark, Snowflake, AWS, MLOps, BentoML, semantic search, and information retrieval demonstrates familiarity with technologies that support modern AI applications. The profile also includes experience with data science and machine learning concepts, providing a solid foundation for AI-driven development. Hands-on work with production data platforms and an interest in expanding into applied machine learning reflect a strong engineering mindset and continuous technical growth."
CAND_0046698,42,0.4261,"Experience in graphic design has developed strong creative problem-solving, stakeholder communication, and project execution skills across multiple organizations. The profile demonstrates familiarity with modern AI technologies through hands-on exposure to RAG, Pinecone, FAISS, embeddings, vector search, LangChain, Hugging Face Transformers, and prompt engineering. Technical knowledge of Java, JavaScript, Redux, Tailwind, and Terraform provides additional exposure to software development concepts. Continuous learning and exploration of Generative AI tools reflect a proactive effort to build expertise in emerging AI technologies."
CAND_0072925,43,0.4128,"Strong background in software engineering with experience developing backend applications, cloud systems, and APIs using technologies such as Python, Django, Node.js, Kafka, Elasticsearch, GCP, BigQuery, and Databricks. Experience building scalable cloud-based solutions provides a solid foundation for distributed systems and production software development. The profile also demonstrates initiative in learning modern AI technologies through hands-on work with RAG, LLM APIs, and related machine learning concepts. Exposure to both cloud infrastructure and backend engineering highlights versatility and a strong engineering foundation for AI-enabled platforms."
CAND_0070152,44,0.3985,"Built a strong software engineering foundation through experience in backend development, cloud deployments, REST APIs, and scalable SaaS applications across product and enterprise environments. Hands-on exposure to technologies such as OpenSearch, Pinecone, Kafka, Apache Beam, Apache Flink, Spark, Databricks, and Terraform demonstrates familiarity with distributed systems and modern data platforms. Experience across Zomato and other software organizations reflects practical knowledge of developing production-grade applications. The profile also shows initiative in exploring AI technologies through RAG projects and LLM APIs while expanding expertise in machine learning and retrieval-based systems."
CAND_0095276,45,0.3849,"Built extensive experience in DevOps, cloud engineering, and backend development across fintech and software organizations, contributing to scalable production infrastructure and deployment workflows. Strong exposure to technologies such as Go, Node.js, MongoDB, and BM25 demonstrates a solid engineering foundation with familiarity in backend systems and search-related concepts. Experience across DevOps and cloud platforms provides practical knowledge of automation, system reliability, and production operations. The profile also reflects continuous learning in AI through self-driven exploration of RAG, LLMs, and modern machine learning technologies."
CAND_0087187,46,0.3724,"Experience in DevOps, backend development, and cloud infrastructure has provided a strong foundation in building and maintaining scalable production systems. Technical expertise includes Docker, Kubernetes, AWS, Airflow, PostgreSQL, BigQuery, ETL, and Node.js, reflecting practical knowledge of deployment automation and data infrastructure. Exposure to web development, API-driven applications, and cloud technologies demonstrates versatility across different areas of software engineering. The profile also shows an active interest in expanding into AI and machine learning by exploring modern LLM and retrieval-based technologies through self-directed learning."
CAND_0046003,47,0.3596,"Built a strong foundation in full-stack development, cloud engineering, and DevOps through experience across software, fintech, and product organizations. Hands-on expertise with Apache Beam, data pipelines, Snowflake, BigQuery, GraphQL, Java, Flask, and cloud-based systems demonstrates experience in developing scalable backend and data-driven applications. Exposure to REST APIs, distributed systems, and production infrastructure reflects practical software engineering capabilities. The profile also shows initiative in exploring modern AI technologies through self-directed learning and experimentation with LLMs and retrieval-based applications."
CAND_0080340,48,0.3472,"Developed strong software engineering expertise through experience in DevOps, backend development, and full-stack application development across enterprise environments. Technical skills in FastAPI, Kafka, Apache Beam, Terraform, Azure, GCP, BigQuery, MongoDB, and Kubeflow demonstrate familiarity with cloud-native infrastructure, distributed systems, and modern data platforms. Exposure to data science and recommendation systems provides additional insight into AI-related technologies and machine learning workflows. The profile also reflects continuous learning in Generative AI through hands-on experimentation with LLMs and retrieval-based applications."
CAND_0057188,49,0.3369,"Strong experience in backend engineering, cloud systems, and full-stack development has provided expertise in building scalable APIs, microservices, and production software. Technical exposure to Kafka, gRPC, BentoML, TensorFlow, REST APIs, and distributed system architectures demonstrates familiarity with technologies that support modern AI and backend applications. Experience across fintech, IT services, and software engineering environments reflects a solid understanding of production infrastructure and application development. The profile also shows a proactive interest in expanding into AI by exploring LLMs and retrieval-based applications through self-driven learning and experimentation."
CAND_0085157,50,0.3256,"Built strong software engineering experience across backend development, DevOps, and application development, contributing to reliable production systems and scalable software solutions. Familiarity with technologies such as PostgreSQL, Node.js, Weights & Biases, CNNs, YOLO, and recommendation systems demonstrates exposure to both software engineering and machine learning concepts. Experience working across manufacturing, software, and IT services has strengthened technical versatility and system development skills. The profile also reflects continuous learning in AI through self-driven exploration of LLMs, retrieval-based applications, and modern machine learning technologies."
CAND_0009758,51,0.3142,"Experience across full-stack development, DevOps, and frontend engineering has provided a strong foundation in building and maintaining production software systems. Hands-on expertise with FastAPI, Redis, Azure, CI/CD, and data pipelines demonstrates familiarity with backend services, cloud infrastructure, and deployment workflows. Working across IT services and software organizations has strengthened skills in developing scalable applications and engineering reliable systems. The profile also reflects a proactive interest in modern AI technologies through self-directed learning and experimentation with LLMs and retrieval-based applications."
CAND_0003379,52,0.3027,"Experience across customer support, people management, and business operations has developed strong communication, stakeholder management, and problem-solving skills. Exposure to technologies such as Docker, Terraform, Databricks, Apache Beam, React, and HTML demonstrates familiarity with modern software and cloud ecosystems. The profile reflects an interest in leveraging AI tools to improve productivity and business workflows while continuously exploring emerging technologies. A diverse professional background across multiple domains highlights adaptability and the ability to work effectively in cross-functional environments."
CAND_0027211,53,0.2914,"Developed strong software engineering skills through experience in frontend development, web applications, and cloud-based systems across software and enterprise environments. Technical exposure to Kubeflow, MLflow, Flask, scikit-learn, GCP, Django, GraphQL, ETL, and Go demonstrates familiarity with machine learning workflows and modern backend technologies. Experience building web applications and REST-based services provides a solid foundation in scalable software development. The profile also reflects a proactive interest in AI by exploring RAG, LLM-based applications, and machine learning technologies through hands-on learning."
CAND_0061614,54,0.2798,"Built a strong software engineering foundation through experience in full-stack and frontend development across fintech and enterprise environments. Familiarity with technologies such as Redis, Snowflake, Airflow, Angular, Next.js, and recommendation systems demonstrates exposure to scalable backend services, data platforms, and modern web applications. Experience working on production software systems reflects practical knowledge of application development and deployment. The profile also highlights continuous learning in AI and machine learning through hands-on exploration of LLMs and retrieval-based technologies."
CAND_0061353,55,0.2683,"Experience in analytics engineering and data engineering has built strong expertise in developing data pipelines, analytics platforms, and backend systems across manufacturing, EdTech, and fintech domains. Technical exposure to SQL, Airflow, FastAPI, Kubeflow, gRPC, MongoDB, PEFT, and Learning-to-Rank demonstrates familiarity with modern data infrastructure and machine learning technologies. Hands-on work supporting production data workflows provides a solid foundation for scalable software and AI-enabled applications. The profile also reflects a strong interest in expanding into applied machine learning by combining data engineering expertise with practical exploration of ML techniques."
CAND_0035690,56,0.2569,"Experience in marketing and business operations has developed strong skills in stakeholder management, project execution, and cross-functional collaboration. The profile demonstrates familiarity with AI-related technologies through exposure to Pinecone, FAISS, vector search, semantic search, Sentence Transformers, and Hugging Face Transformers, along with technical tools such as Airflow, Flask, and Terraform. Experience across software and manufacturing organizations reflects adaptability and an understanding of technology-driven business environments. Continuous learning and exploration of Generative AI concepts highlight a proactive approach toward adopting emerging AI technologies."
CAND_0042560,57,0.2453,"Professional experience across engineering, project management, and customer-facing roles has developed strong collaboration, execution, and stakeholder management skills. Exposure to technologies such as SQL, Kafka, Angular, and microservices provides a basic understanding of modern software development concepts. Experience working in cross-functional environments reflects adaptability and familiarity with technology-driven organizations. The profile also demonstrates an active interest in exploring AI tools and emerging technologies to improve productivity and broaden technical capabilities."
CAND_0091528,58,0.2338,"Experience across customer support, marketing, and project-oriented roles has strengthened communication, stakeholder management, and business operations skills. Technical exposure to FastAPI, GraphQL, JavaScript, Vue.js, Tailwind, Terraform, and project management tools demonstrates familiarity with modern software development concepts. The profile reflects adaptability through work across multiple functional domains and technology-driven environments. An active interest in AI-assisted workflows and emerging technologies highlights a willingness to continuously learn and adopt new technical capabilities."
CAND_0010142,59,0.2214,"Built a strong software engineering foundation through experience in full-stack development, cloud engineering, and backend application development across software and IT environments. Technical expertise in Flask, Go, PostgreSQL, Redis, Snowflake, MLOps, CI/CD, React, and dbt demonstrates familiarity with scalable application development and modern deployment practices. Experience working on cloud-based systems and production software reflects practical knowledge of building reliable engineering solutions. The profile also shows initiative in exploring AI technologies through self-directed learning and experimentation with LLMs and retrieval-based applications."
CAND_0043495,60,0.2098,"Built a solid software engineering background through experience in mobile development, frontend engineering, and backend application development across software environments. Hands-on expertise with Python, FastAPI, Flask, Node.js, Go, Kubernetes, gRPC, CI/CD, and scikit-learn demonstrates familiarity with modern backend services and deployment practices. Experience developing production applications has strengthened skills in scalable software design and API-driven systems. The profile also reflects continuous learning in AI and machine learning through self-directed exploration of LLMs and retrieval-based technologies."
